accession	description
"GCA_013089485.1"	"ASM1308948v1 assembly for uncultured human fecal virus"
"GCA_013089505.1"	"ASM1308950v1 assembly for uncultured human fecal virus"
"GCA_013089525.1"	"ASM1308952v1 assembly for uncultured human fecal virus"
"GCA_013089675.1"	"ASM1308967v1 assembly for uncultured human fecal virus"
"GCA_013089685.1"	"ASM1308968v1 assembly for uncultured human fecal virus"
"GCA_013089725.1"	"ASM1308972v1 assembly for uncultured human fecal virus"
"GCA_013089735.1"	"ASM1308973v1 assembly for uncultured human fecal virus"
"GCA_013089745.1"	"ASM1308974v1 assembly for uncultured human fecal virus"
"GCA_013089825.1"	"ASM1308982v1 assembly for uncultured human fecal virus"
"GCA_013089835.1"	"ASM1308983v1 assembly for uncultured human fecal virus"
"GCA_013089845.1"	"ASM1308984v1 assembly for uncultured human fecal virus"
"GCA_013089855.1"	"ASM1308985v1 assembly for uncultured human fecal virus"
"GCA_013089865.1"	"ASM1308986v1 assembly for uncultured human fecal virus"
"GCA_013089875.1"	"ASM1308987v1 assembly for uncultured human fecal virus"
"GCA_013089905.1"	"ASM1308990v1 assembly for uncultured human fecal virus"
"GCA_013089915.1"	"ASM1308991v1 assembly for uncultured human fecal virus"
"GCA_013089935.1"	"ASM1308993v1 assembly for uncultured human fecal virus"
"GCA_013089955.1"	"ASM1308995v1 assembly for uncultured human fecal virus"
"GCA_013090045.1"	"ASM1309004v1 assembly for uncultured human fecal virus"
"GCA_008667435.1"	"ASM866743v1 assembly for Ruminococcus bromii"
"GCA_008667455.1"	"ASM866745v1 assembly for Clostridia bacterium"
"GCA_008667465.1"	"ASM866746v1 assembly for Clostridia bacterium"
"GCA_008667525.1"	"ASM866752v1 assembly for Neglectibacter sp."
"GCA_008667555.1"	"ASM866755v1 assembly for Clostridia bacterium"
"GCA_008667625.1"	"ASM866762v1 assembly for Ruminococcus sp."
"GCA_008667645.1"	"ASM866764v1 assembly for Ruminococcus bromii"
"GCA_008667715.1"	"ASM866771v1 assembly for Blautia obeum"
"GCA_008667735.1"	"ASM866773v1 assembly for Clostridia bacterium"
"GCA_008667745.1"	"ASM866774v1 assembly for Akkermansia sp."
"GCA_008667815.1"	"ASM866781v1 assembly for Roseburia faecis"
"GCA_008667835.1"	"ASM866783v1 assembly for Clostridia bacterium"
"GCA_008667845.1"	"ASM866784v1 assembly for Clostridia bacterium"
"GCA_008667915.1"	"ASM866791v1 assembly for Collinsella aerofaciens"
"GCA_008667935.1"	"ASM866793v1 assembly for Ruminococcus sp."
"GCA_008667975.1"	"ASM866797v1 assembly for Phascolarctobacterium sp."
"GCA_008668015.1"	"ASM866801v1 assembly for Ruminococcus bromii"
"GCA_008668055.1"	"ASM866805v1 assembly for Prevotella sp."
"GCA_008668095.1"	"ASM866809v1 assembly for Agathobacter rectalis"
"GCA_008668115.1"	"ASM866811v1 assembly for Lachnospiraceae bacterium"
"GCA_008668155.1"	"ASM866815v1 assembly for Clostridia bacterium"
"GCA_008668165.1"	"ASM866816v1 assembly for Clostridia bacterium"
"GCA_008668245.1"	"ASM866824v1 assembly for Ruminococcus bromii"
"GCA_008668255.1"	"ASM866825v1 assembly for Blautia wexlerae"
"GCA_008668335.1"	"ASM866833v1 assembly for Clostridia bacterium"
"GCA_008668345.1"	"ASM866834v1 assembly for Blautia wexlerae"
"GCA_008668375.1"	"ASM866837v1 assembly for Clostridia bacterium"
"GCA_008668415.1"	"ASM866841v1 assembly for Ruminococcus bicirculans (ex Wegman et al. 2014)"
"GCA_008668455.1"	"ASM866845v1 assembly for Clostridia bacterium"
"GCA_008668535.1"	"ASM866853v1 assembly for Subdoligranulum sp."
"GCA_008668545.1"	"ASM866854v1 assembly for Bifidobacterium sp."
"GCA_008668635.1"	"ASM866863v1 assembly for Blautia wexlerae"
"GCA_008668645.1"	"ASM866864v1 assembly for Ruminococcus bromii"
"GCA_008668715.1"	"ASM866871v1 assembly for Bifidobacterium longum"
"GCA_008668735.1"	"ASM866873v1 assembly for Megasphaera sp."
"GCA_008668745.1"	"ASM866874v1 assembly for Subdoligranulum sp."
"GCA_013088955.1"	"ASM1308895v1 assembly for uncultured human fecal virus"
"GCA_013088965.1"	"ASM1308896v1 assembly for uncultured human fecal virus"
"GCA_013088985.1"	"ASM1308898v1 assembly for uncultured human fecal virus"
"GCA_013089015.1"	"ASM1308901v1 assembly for uncultured human fecal virus"
"GCA_013089025.1"	"ASM1308902v1 assembly for uncultured human fecal virus"
"GCA_013089055.1"	"ASM1308905v1 assembly for uncultured human fecal virus"
"GCA_013089065.1"	"ASM1308906v1 assembly for uncultured human fecal virus"
"GCA_013089095.1"	"ASM1308909v1 assembly for uncultured human fecal virus"
"GCA_013089155.1"	"ASM1308915v1 assembly for uncultured human fecal virus"
"GCA_013089165.1"	"ASM1308916v1 assembly for uncultured human fecal virus"
"GCA_013089185.1"	"ASM1308918v1 assembly for uncultured human fecal virus"
"GCA_013089195.1"	"ASM1308919v1 assembly for uncultured human fecal virus"
"GCA_013089245.1"	"ASM1308924v1 assembly for uncultured human fecal virus"
"GCA_013089255.1"	"ASM1308925v1 assembly for uncultured human fecal virus"
"GCA_013089325.1"	"ASM1308932v1 assembly for uncultured human fecal virus"
"GCA_013089375.1"	"ASM1308937v1 assembly for uncultured human fecal virus"
"GCA_013089405.1"	"ASM1308940v1 assembly for uncultured human fecal virus"
"GCA_013089425.1"	"ASM1308942v1 assembly for uncultured human fecal virus"
"GCA_013089435.1"	"ASM1308943v1 assembly for uncultured human fecal virus"
"GCA_013089455.1"	"ASM1308945v1 assembly for uncultured human fecal virus"
"GCA_013089475.1"	"ASM1308947v1 assembly for uncultured human fecal virus"
"GCA_013089495.1"	"ASM1308949v1 assembly for uncultured human fecal virus"
"GCA_013089515.1"	"ASM1308951v1 assembly for uncultured human fecal virus"
"GCA_008668995.1"	"ASM866899v1 assembly for Ruthenibacterium lactatiformans"
"GCA_008669065.1"	"ASM866906v1 assembly for Blautia wexlerae"
"GCA_008669245.1"	"ASM866924v1 assembly for Bifidobacterium sp."
"GCA_008672755.1"	"ASM867275v1 assembly for Clostridia bacterium"
"GCA_008672775.1"	"ASM867277v1 assembly for Faecalibacterium prausnitzii"
"GCA_008672795.1"	"ASM867279v1 assembly for Bifidobacterium adolescentis"
"GCA_008672875.1"	"ASM867287v1 assembly for Collinsella aerofaciens"
"GCA_008672885.1"	"ASM867288v1 assembly for Akkermansia sp."
"GCA_008672955.1"	"ASM867295v1 assembly for Ruminococcus bromii"
"GCA_008672965.1"	"ASM867296v1 assembly for Clostridia bacterium"
"GCA_008672985.1"	"ASM867298v1 assembly for Agathobacter rectalis"
"GCA_008662095.1"	"ASM866209v1 assembly for Collinsella sp."
"GCA_008662115.1"	"ASM866211v1 assembly for Fusicatenibacter saccharivorans"
"GCA_008662125.1"	"ASM866212v1 assembly for Clostridia bacterium"
"GCA_008662205.1"	"ASM866220v1 assembly for Ruminococcus bromii"
"GCA_008662225.1"	"ASM866222v1 assembly for Blautia wexlerae"
"GCA_008662245.1"	"ASM866224v1 assembly for Collinsella sp."
"GCA_008662335.1"	"ASM866233v1 assembly for Ruminococcus bromii"
"GCA_008662345.1"	"ASM866234v1 assembly for Faecalibacterium prausnitzii"
"GCA_008662455.1"	"ASM866245v1 assembly for Blautia sp."
"GCA_008672205.1"	"ASM867220v1 assembly for Akkermansia muciniphila"
"GCA_008672215.1"	"ASM867221v1 assembly for Coprococcus sp."
"GCA_008672295.1"	"ASM867229v1 assembly for Blautia wexlerae"
"GCA_008672315.1"	"ASM867231v1 assembly for Bifidobacterium pseudocatenulatum"
"GCA_008672455.1"	"ASM867245v1 assembly for Bifidobacterium pseudocatenulatum"
"GCA_008672495.1"	"ASM867249v1 assembly for Faecalibacterium sp."
"GCA_008672515.1"	"ASM867251v1 assembly for Megasphaera massiliensis"
"GCA_008672545.1"	"ASM867254v1 assembly for Bifidobacterium longum"
"GCA_008672555.1"	"ASM867255v1 assembly for Roseburia faecis"
"GCA_008672595.1"	"ASM867259v1 assembly for Blautia wexlerae"
"GCA_008672605.1"	"ASM867260v1 assembly for Bifidobacterium longum"
"GCA_013088725.1"	"ASM1308872v1 assembly for uncultured human fecal virus"
"GCA_013088735.1"	"ASM1308873v1 assembly for uncultured human fecal virus"
"GCA_013088745.1"	"ASM1308874v1 assembly for uncultured human fecal virus"
"GCA_013088805.1"	"ASM1308880v1 assembly for uncultured human fecal virus"
"GCA_013088815.1"	"ASM1308881v1 assembly for uncultured human fecal virus"
"GCA_013088825.1"	"ASM1308882v1 assembly for uncultured human fecal virus"
"GCA_013088855.1"	"ASM1308885v1 assembly for uncultured human fecal virus"
"GCA_013088865.1"	"ASM1308886v1 assembly for uncultured human fecal virus"
"GCA_013088895.1"	"ASM1308889v1 assembly for uncultured human fecal virus"
"GCA_013088905.1"	"ASM1308890v1 assembly for uncultured human fecal virus"
"GCA_013088945.1"	"ASM1308894v1 assembly for uncultured human fecal virus"
"GCA_008662155.1"	"ASM866215v1 assembly for Bifidobacterium sp."
"GCA_008662165.1"	"ASM866216v1 assembly for Anaerobutyricum hallii"
"GCA_008662195.1"	"ASM866219v1 assembly for Agathobacter rectalis"
"GCA_008662275.1"	"ASM866227v1 assembly for Eggerthellaceae bacterium"
"GCA_008662295.1"	"ASM866229v1 assembly for Fusicatenibacter saccharivorans"
"GCA_008662305.1"	"ASM866230v1 assembly for Bifidobacterium sp."
"GCA_008662355.1"	"ASM866235v1 assembly for Agathobacter rectalis"
"GCA_008662395.1"	"ASM866239v1 assembly for Agathobacter rectalis"
"GCA_008662405.1"	"ASM866240v1 assembly for Bifidobacterium sp."
"GCA_013088685.1"	"ASM1308868v1 assembly for uncultured human fecal virus"
"GCA_013088695.1"	"ASM1308869v1 assembly for uncultured human fecal virus"
"GCA_013088705.1"	"ASM1308870v1 assembly for uncultured human fecal virus"
"GCA_013088755.1"	"ASM1308875v1 assembly for uncultured human fecal virus"
"GCA_013088765.1"	"ASM1308876v1 assembly for uncultured human fecal virus"
"GCA_013088775.1"	"ASM1308877v1 assembly for uncultured human fecal virus"
"GCA_013088785.1"	"ASM1308878v1 assembly for uncultured human fecal virus"
"GCA_013088795.1"	"ASM1308879v1 assembly for uncultured human fecal virus"
"GCA_013088835.1"	"ASM1308883v1 assembly for uncultured human fecal virus"
"GCA_013088845.1"	"ASM1308884v1 assembly for uncultured human fecal virus"
"GCA_013088875.1"	"ASM1308887v1 assembly for uncultured human fecal virus"
"GCA_013088885.1"	"ASM1308888v1 assembly for uncultured human fecal virus"
"GCA_013088925.1"	"ASM1308892v1 assembly for uncultured human fecal virus"
"GCA_013088935.1"	"ASM1308893v1 assembly for uncultured human fecal virus"
"GCA_013089695.1"	"ASM1308969v1 assembly for uncultured human fecal virus"
"GCA_013089755.1"	"ASM1308975v1 assembly for uncultured human fecal virus"
"GCA_013089765.1"	"ASM1308976v1 assembly for uncultured human fecal virus"
"GCA_013089775.1"	"ASM1308977v1 assembly for uncultured human fecal virus"
"GCA_013089925.1"	"ASM1308992v1 assembly for uncultured human fecal virus"
"GCA_013089965.1"	"ASM1308996v1 assembly for uncultured human fecal virus"
"GCA_013089975.1"	"ASM1308997v1 assembly for uncultured human fecal virus"
"GCA_013089985.1"	"ASM1308998v1 assembly for uncultured human fecal virus"
"GCA_013089995.1"	"ASM1308999v1 assembly for uncultured human fecal virus"
"GCA_013090005.1"	"ASM1309000v1 assembly for uncultured human fecal virus"
"GCA_013086015.1"	"ASM1308601v1 assembly for uncultured human fecal virus"
"GCA_014071265.1"	"ASM1407126v1 assembly for Bacteroides phage Bacuni_F1"
"GCA_008661855.1"	"ASM866185v1 assembly for Varibaculum sp."
"GCA_008661915.1"	"ASM866191v1 assembly for Blautia wexlerae"
"GCA_008661935.1"	"ASM866193v1 assembly for Agathobacter rectalis"
"GCA_008661995.1"	"ASM866199v1 assembly for Clostridia bacterium"
"GCA_008662005.1"	"ASM866200v1 assembly for Anaerostipes hadrus"
"GCA_008662015.1"	"ASM866201v1 assembly for Ruminococcus bromii"
"GCA_008662055.1"	"ASM866205v1 assembly for Eggerthellaceae bacterium"
"GCA_033955205.1"	"ASM3395520v1 assembly for Staphylococcus phage S-CoN_Ph2"
"GCA_033955215.1"	"ASM3395521v1 assembly for Staphylococcus phage S-CoN_Ph20"
"GCA_033969425.1"	"ASM3396942v1 assembly for Staphylococcus phage S-CoN_Ph23"
"GCA_033969465.1"	"ASM3396946v1 assembly for Staphylococcus phage S-CoN_Ph27"
"GCA_033969515.1"	"ASM3396951v1 assembly for Staphylococcus phage S-CoN_Ph32"
"GCA_033969565.1"	"ASM3396956v1 assembly for Staphylococcus phage S-CoN_Ph35"
"GCA_033955175.1"	"ASM3395517v1 assembly for Staphylococcus phage S-CoN_Ph19"
"GCA_033969195.1"	"ASM3396919v1 assembly for Staphylococcus phage Alsa_1"
"GCA_033969205.1"	"ASM3396920v1 assembly for Staphylococcus phage Alsa_2"
"GCA_033969215.1"	"ASM3396921v1 assembly for Staphylococcus phage Alsa_3"
"GCA_033969225.1"	"ASM3396922v1 assembly for Staphylococcus phage Alsa_4"
"GCA_033969235.1"	"ASM3396923v1 assembly for Staphylococcus phage S-CoN_Ph1"
"GCA_033969245.1"	"ASM3396924v1 assembly for Staphylococcus phage S-CoN_Ph3"
"GCA_033969255.1"	"ASM3396925v1 assembly for Staphylococcus phage S-CoN_Ph4"
"GCA_033969265.1"	"ASM3396926v1 assembly for Staphylococcus phage S-CoN_Ph5"
"GCA_033969275.1"	"ASM3396927v1 assembly for Staphylococcus phage S-CoN_Ph6"
"GCA_033969285.1"	"ASM3396928v1 assembly for Staphylococcus phage S-CoN_Ph7"
"GCA_033969295.1"	"ASM3396929v1 assembly for Staphylococcus phage S-CoN_Ph8"
"GCA_033969305.1"	"ASM3396930v1 assembly for Staphylococcus phage S-CoN_Ph9"
"GCA_033969315.1"	"ASM3396931v1 assembly for Staphylococcus phage S-CoN_Ph10"
"GCA_033969325.1"	"ASM3396932v1 assembly for Staphylococcus phage S-CoN_Ph11"
"GCA_033969335.1"	"ASM3396933v1 assembly for Staphylococcus phage S-CoN_Ph12"
"GCA_033969345.1"	"ASM3396934v1 assembly for Staphylococcus phage S-CoN_Ph13"
"GCA_033969355.1"	"ASM3396935v1 assembly for Staphylococcus phage S-CoN_Ph14"
"GCA_033969365.1"	"ASM3396936v1 assembly for Staphylococcus phage S-CoN_Ph15"
"GCA_033969375.1"	"ASM3396937v1 assembly for Staphylococcus phage S-CoN_Ph16"
"GCA_033969385.1"	"ASM3396938v1 assembly for Staphylococcus phage S-CoN_Ph17"
"GCA_033969395.1"	"ASM3396939v1 assembly for Staphylococcus phage S-CoN_Ph18"
"GCA_033969405.1"	"ASM3396940v1 assembly for Staphylococcus phage S-CoN_Ph21"
"GCA_033969415.1"	"ASM3396941v1 assembly for Staphylococcus phage S-CoN_Ph22"
"GCA_033969435.1"	"ASM3396943v1 assembly for Staphylococcus phage S-CoN_Ph24"
"GCA_033969445.1"	"ASM3396944v1 assembly for Staphylococcus phage S-CoN_Ph25"
"GCA_033969455.1"	"ASM3396945v1 assembly for Staphylococcus phage S-CoN_Ph26"
"GCA_033969475.1"	"ASM3396947v1 assembly for Staphylococcus phage S-CoN_Ph28"
"GCA_033969485.1"	"ASM3396948v1 assembly for Staphylococcus phage S-CoN_Ph29"
"GCA_033969495.1"	"ASM3396949v1 assembly for Staphylococcus phage S-CoN_Ph30"
"GCA_033969505.1"	"ASM3396950v1 assembly for Staphylococcus phage S-CoN_Ph31"
"GCA_033969525.1"	"ASM3396952v1 assembly for Staphylococcus phage S-CoN_Ph33"
"GCA_033969535.1"	"ASM3396953v1 assembly for Staphylococcus phage S-CoN_Ph34"
"GCA_033969575.1"	"ASM3396957v1 assembly for Staphylococcus phage S-CoN_Ph36"
"GCA_016835595.1"	"ASM1683559v1 assembly for Rhizobium phage RHph_TM40"
"GCA_016835605.1"	"ASM1683560v1 assembly for Rhizobium phage RHph_I1_18"
"GCA_016835645.1"	"ASM1683564v1 assembly for Rhizobium phage RHph_I20"
"GCA_016835665.1"	"ASM1683566v1 assembly for Rhizobium phage RHph_I3_18"
"GCA_016835695.1"	"ASM1683569v1 assembly for Rhizobium phage RHph_I4"
"GCA_016835705.1"	"ASM1683570v1 assembly for Rhizobium phage RHph_I42"
"GCA_016835715.1"	"ASM1683571v1 assembly for Rhizobium phage RHph_I46"
"GCA_016835725.1"	"ASM1683572v1 assembly for Rhizobium phage RHph_I65"
"GCA_016835735.1"	"ASM1683573v1 assembly for Rhizobium phage RHph_I9"
"GCA_016835745.1"	"ASM1683574v1 assembly for Rhizobium phage RHph_N1_10"
"GCA_016835755.1"	"ASM1683575v1 assembly for Rhizobium phage RHph_N1_15"
"GCA_016835765.1"	"ASM1683576v1 assembly for Rhizobium phage RHph_N17"
"GCA_016835835.1"	"ASM1683583v1 assembly for Rhizobium phage RHph_N37"
"GCA_016835845.1"	"ASM1683584v1 assembly for Rhizobium phage RHph_N38"
"GCA_016835855.1"	"ASM1683585v1 assembly for Rhizobium phage RHph_N39"
"GCA_016835865.1"	"ASM1683586v1 assembly for Rhizobium phage RHph_N42"
"GCA_016835875.1"	"ASM1683587v1 assembly for Rhizobium phage RHph_N65"
"GCA_016835885.1"	"ASM1683588v1 assembly for Rhizobium phage RHph_TM15"
"GCA_016835895.1"	"ASM1683589v1 assembly for Rhizobium phage RHph_TM16"
"GCA_016835905.1"	"ASM1683590v1 assembly for Rhizobium phage RHph_TM2_3B"
"GCA_016835915.1"	"ASM1683591v1 assembly for Rhizobium phage RHph_TM21B"
"GCA_016835925.1"	"ASM1683592v1 assembly for Rhizobium phage RHph_TM26"
"GCA_016835935.1"	"ASM1683593v1 assembly for Rhizobium phage RHph_TM27A"
"GCA_016835945.1"	"ASM1683594v1 assembly for Rhizobium phage RHph_TM27B"
"GCA_016835955.1"	"ASM1683595v1 assembly for Rhizobium phage RHph_TM29"
"GCA_016835965.1"	"ASM1683596v1 assembly for Rhizobium phage RHph_TM3_3_3"
"GCA_016835975.1"	"ASM1683597v1 assembly for Rhizobium phage RHph_TM3_3_6"
"GCA_016836015.1"	"ASM1683601v1 assembly for Rhizobium phage RHph_TM38"
"GCA_016836025.1"	"ASM1683602v1 assembly for Rhizobium phage RHph_TM39"
"GCA_016836035.1"	"ASM1683603v1 assembly for Rhizobium phage RHph_Y1_1"
"GCA_016836085.1"	"ASM1683608v1 assembly for Rhizobium phage RHph_Y21"
"GCA_016836095.1"	"ASM1683609v1 assembly for Rhizobium phage RHph_Y3_1"
"GCA_016836115.1"	"ASM1683611v1 assembly for Rhizobium phage RHph_Y3_36"
"GCA_016836125.1"	"ASM1683612v1 assembly for Rhizobium phage RHph_Y3_43"
"GCA_016836135.1"	"ASM1683613v1 assembly for Rhizobium phage RHph_Y3_56_1"
"GCA_016836145.1"	"ASM1683614v1 assembly for Rhizobium phage RHph_Y3_56_2"
"GCA_016835175.1"	"ASM1683517v1 assembly for Rhizobium phage RHph_TM34"
"GCA_016835215.1"	"ASM1683521v1 assembly for Rhizobium phage RHph_TM3_14A"
"GCA_016835225.1"	"ASM1683522v1 assembly for Rhizobium phage RHph_TM1_10B"
"GCA_016835235.1"	"ASM1683523v1 assembly for Rhizobium phage RHph_TM3_3_4B"
"GCA_016835245.1"	"ASM1683524v1 assembly for Rhizobium phage RHph_TM3_3_5B"
"GCA_016835255.1"	"ASM1683525v1 assembly for Rhizobium phage RHph_TM1_7A"
"GCA_016835265.1"	"ASM1683526v1 assembly for Rhizobium phage RHph_TM32"
"GCA_016835275.1"	"ASM1683527v1 assembly for Rhizobium phage RHph_TM3_3_7A"
"GCA_016835285.1"	"ASM1683528v1 assembly for Rhizobium phage RHph_TM1_10A"
"GCA_016835325.1"	"ASM1683532v1 assembly for Rhizobium phage RHph_Y1_20"
"GCA_016835335.1"	"ASM1683533v1 assembly for Rhizobium phage RHph_TM61"
"GCA_016835345.1"	"ASM1683534v1 assembly for Rhizobium phage RHph_TM3_3_12"
"GCA_016835355.1"	"ASM1683535v1 assembly for Rhizobium phage RHph_TM3_3_13"
"GCA_016835365.1"	"ASM1683536v1 assembly for Rhizobium phage RHph_TM3_3_14B"
"GCA_016835395.1"	"ASM1683539v1 assembly for Rhizobium phage RHph_Y55"
"GCA_016835405.1"	"ASM1683540v1 assembly for Rhizobium phage RHph_Y3_38"
"GCA_016835435.1"	"ASM1683543v1 assembly for Rhizobium phage RHph_Y2_7"
"GCA_016835445.1"	"ASM1683544v1 assembly for Rhizobium phage RHph_N28_1"
"GCA_016835455.1"	"ASM1683545v1 assembly for Rhizobium phage RHph_N28_2"
"GCA_016835465.1"	"ASM1683546v1 assembly for Rhizobium phage RHph_N2"
"GCA_016835545.1"	"ASM1683554v1 assembly for Rhizobium phage RHph_Y2_11"
"GCA_016835555.1"	"ASM1683555v1 assembly for Rhizobium phage RHph_Y2_17_1"
"GCA_016835565.1"	"ASM1683556v1 assembly for Rhizobium phage RHph_Y2_17_2"
"GCA_016835575.1"	"ASM1683557v1 assembly for Rhizobium phage RHph_I34"
"GCA_016836195.1"	"ASM1683619v1 assembly for Rhizobium phage RHph_Y65"
"GCA_016836225.1"	"ASM1683622v1 assembly for Rhizobium phage RHph_Y86"
"GCA_016835155.1"	"ASM1683515v1 assembly for Rhizobium phage RHph_TM23"
"GCA_016835165.1"	"ASM1683516v1 assembly for Rhizobium phage RHph_TM24"
"GCA_016835185.1"	"ASM1683518v1 assembly for Rhizobium phage RHph_TM3_3_5A"
"GCA_016835195.1"	"ASM1683519v1 assembly for Rhizobium phage RHph_TM3_3_9"
"GCA_016835205.1"	"ASM1683520v1 assembly for Rhizobium phage RHph_TM3_3_14A"
"GCA_016835295.1"	"ASM1683529v1 assembly for Rhizobium phage RHph_TM3_4A"
"GCA_016835305.1"	"ASM1683530v1 assembly for Rhizobium phage RHph_Y60"
"GCA_016835315.1"	"ASM1683531v1 assembly for Rhizobium phage RHph_Y1_10"
"GCA_016835375.1"	"ASM1683537v1 assembly for Rhizobium phage RHph_Y2_6"
"GCA_016835385.1"	"ASM1683538v1 assembly for Rhizobium phage RHph_TM1_20A"
"GCA_016835415.1"	"ASM1683541v1 assembly for Rhizobium phage RHph_N25"
"GCA_016835425.1"	"ASM1683542v1 assembly for Rhizobium phage RHph_Y2"
"GCA_016835475.1"	"ASM1683547v1 assembly for Rhizobium phage RHph_N34"
"GCA_016835525.1"	"ASM1683552v1 assembly for Rhizobium phage RHph_TM3_3_10"
"GCA_016835535.1"	"ASM1683553v1 assembly for Rhizobium phage RHph_Y25"
"GCA_016835585.1"	"ASM1683558v1 assembly for Rhizobium phage RHph_I72"
"GCA_016835615.1"	"ASM1683561v1 assembly for Rhizobium phage RHph_I1_23"
"GCA_016835625.1"	"ASM1683562v1 assembly for Rhizobium phage RHph_I1_6"
"GCA_016835635.1"	"ASM1683563v1 assembly for Rhizobium phage RHph_I1_9"
"GCA_016835655.1"	"ASM1683565v1 assembly for Rhizobium phage RHph_I3_11"
"GCA_016835675.1"	"ASM1683567v1 assembly for Rhizobium phage RHph_I36"
"GCA_016835685.1"	"ASM1683568v1 assembly for Rhizobium phage RHph_I38"
"GCA_016835775.1"	"ASM1683577v1 assembly for Rhizobium phage RHph_N2_10"
"GCA_016835785.1"	"ASM1683578v1 assembly for Rhizobium phage RHph_N2_6"
"GCA_016835795.1"	"ASM1683579v1 assembly for Rhizobium phage RHph_N3_13"
"GCA_016835805.1"	"ASM1683580v1 assembly for Rhizobium phage RHph_N3_19"
"GCA_016835815.1"	"ASM1683581v1 assembly for Rhizobium phage RHph_N3_2"
"GCA_016835825.1"	"ASM1683582v1 assembly for Rhizobium phage RHph_N3_8"
"GCA_016835985.1"	"ASM1683598v1 assembly for Rhizobium phage RHph_TM30"
"GCA_016835995.1"	"ASM1683599v1 assembly for Rhizobium phage RHph_TM33"
"GCA_016836005.1"	"ASM1683600v1 assembly for Rhizobium phage RHph_TM36"
"GCA_016836045.1"	"ASM1683604v1 assembly for Rhizobium phage RHph_Y1_11"
"GCA_016836055.1"	"ASM1683605v1 assembly for Rhizobium phage RHph_Y17"
"GCA_016836065.1"	"ASM1683606v1 assembly for Rhizobium phage RHph_Y2_19"
"GCA_016836075.1"	"ASM1683607v1 assembly for Rhizobium phage RHph_Y2_4"
"GCA_016836105.1"	"ASM1683610v1 assembly for Rhizobium phage RHph_Y3_19"
"GCA_016836155.1"	"ASM1683615v1 assembly for Rhizobium phage RHph_Y38"
"GCA_016836165.1"	"ASM1683616v1 assembly for Rhizobium phage RHph_Y48"
"GCA_016836175.1"	"ASM1683617v1 assembly for Rhizobium phage RHph_Y52"
"GCA_016836185.1"	"ASM1683618v1 assembly for Rhizobium phage RHph_Y5A"
"GCA_016836205.1"	"ASM1683620v1 assembly for Rhizobium phage RHph_Y67"
"GCA_016836215.1"	"ASM1683621v1 assembly for Rhizobium phage RHph_Y68"
"GCA_005892785.1"	"ASM589278v1 assembly for Klebsiella phage K1-ULIP33"
"GCA_002624525.1"	"ASM262452v1 assembly for Xanthomonas phage f20-Xaj"
"GCA_002624545.1"	"ASM262454v1 assembly for Xanthomonas phage f30-Xaj"
"GCA_005280775.1"	"ASM528077v1 assembly for Klebsiella phage Kund-ULIP54"
"GCA_029239665.1"	"ASM2923966v1 assembly for Xanthomonas phage vB_XooS_NR08"
"GCA_005892805.1"	"ASM589280v1 assembly for Klebsiella phage Kund-ULIP47"
"GCA_038024885.1"	"ASM3802488v1 assembly for Gordonia hydrophobica"
"GCA_038024895.1"	"ASM3802489v1 assembly for Gordonia terrae"
"GCA_038024925.1"	"ASM3802492v1 assembly for Gordonia malaquae"
"GCA_038024905.1"	"ASM3802490v1 assembly for Gordonia malaquae"
"GCA_038024875.1"	"ASM3802487v1 assembly for Gordonia rubripertincta"
"GCA_000903755.2"	"ViralProj184144 assembly for Yersinia phage phiR2-01"
"GCA_964034105.1"	"LF7074_P1 assembly for Kagunavirus LF7074P1"
"GCA_964034115.1"	"PDP110_P1 assembly for Lambdavirus PDP110P1"
"GCA_964034145.1"	"LF7074_P2 assembly for Kagunavirus LF7074P1"
"GCA_964034155.1"	"PDP351_P2 assembly for Teseptimavirus PDP351P2"
"GCA_964034175.1"	"536_P11 assembly for Kagunavirus 536P11"
"GCA_964034185.1"	"LF82_P3 assembly for Felixounavirus LF82P3"
"GCA_964034205.1"	"BCH953_P4 assembly for Tequatrovirus BCH953P4"
"GCA_964034215.1"	"LF110_P3 assembly for Felixounavirus LF110P2"
"GCA_964034265.1"	"536_P12 assembly for Sashavirus 536P12"
"GCA_964034275.1"	"NIC06_P3 assembly for Vectrevirus NIC06P3"
"GCA_964034305.1"	"BDX09_P1 assembly for Sashavirus BDX09P1"
"GCA_964034335.1"	"LF82_P4 assembly for Felixounavirus LF82P3"
"GCA_964034345.1"	"PDP21_P8 assembly for Kagunavirus PDP21P8"
"GCA_964034385.1"	"BCH953_P5 assembly for Tequatrovirus BCH953P4"
"GCA_964034395.1"	"LM40_P3 assembly for Dhillonvirus LM40P1"
"GCA_964034405.1"	"T4LD assembly for Tequatrovirus T4"
"GCA_964034445.1"	"LF7074_P3 assembly for Kagunavirus LF7074P3"
"GCA_964034455.1"	"NRG857C_P2 assembly for Felixounavirus NRG857CP1"
"GCA_964034465.1"	"LF73_P4 assembly for Krischvirus LF73P4"
"GCA_964034525.1"	"AL505_P2 assembly for Krischvirus RB49"
"GCA_964034555.1"	"T145_P3 assembly for Veterinaerplatzvirus T145P1"
"GCA_964034565.1"	"NRG857C_P1 assembly for Felixounavirus NRG857CP1"
"GCA_964034575.1"	"T205_P5 assembly for Vectrevirus T205P5"
"GCA_964034585.1"	"BDX03_P2 assembly for Kayfunavirus BDX03P1"
